  Degree 1 coefficients, mm equivalent water thickness
  format='(4f9.2)'
  Time        C10      C11     S11
  2002.29    11.86     7.79    -3.21
  2002.36     8.42     7.39    -3.95
  2002.62    -1.11    -2.37    -0.10
  2002.71    -1.88    -3.25     1.35
  2002.79    -0.26    -0.53     3.24
  2002.88     5.38     1.60     2.87
  2002.96     3.46     0.95     5.79
  2003.04     4.95     8.51    -1.27
  2003.12     6.22     3.05    -0.99
  2003.21    10.19     2.79    -1.27
  2003.29     7.42     2.76    -4.74
  2003.36     6.35     1.14    -4.09
  2003.54     0.33     1.49    -1.87
  2003.62    -0.25     0.16     4.42
  2003.71     0.20    -2.43     7.41
  2003.79    -1.21    -3.07     5.65
  2003.88     2.40    -1.17     4.01
  2003.96     4.87     1.49     3.20
  2004.02     4.68     0.34     3.22
  2004.13     9.86     1.92     1.39
  2004.21     8.96     1.23    -0.64
  2004.29    11.73     2.66     0.87
  2004.38     7.96     6.19    -5.34
  2004.46     4.83     2.14    -4.95
  2004.54     2.74     0.94     1.92
  2004.63    -1.21    -0.96     1.57
  2004.71     3.50    -3.31     4.88
  2004.79    -2.01    -3.67     3.76
  2004.88     2.38    -1.19     2.03
  2004.96     6.37     0.44     2.20
  2005.05     9.75     0.44    -2.67
  2005.13    11.95     0.03    -2.16
  2005.21    14.22     2.65    -4.53
  2005.29    14.59     1.33    -7.93
  2005.38    14.55     4.06    -4.77
  2005.46     5.42     1.73    -4.66
  2005.54     1.76     0.84    -2.58
  2005.63     2.08    -1.67     2.23
  2005.71    -0.18    -1.96     5.94
  2005.79     0.06    -0.68     2.41
  2005.88     1.33    -2.45     4.61
  2005.96     5.36    -2.43     4.51
  2006.05     6.97     0.23    -3.67
  2006.13     8.87     1.57    -3.77
  2006.21     9.38     5.76    -3.74
  2006.29     8.03     5.21    -4.66
  2006.38     8.13     2.79    -5.12
  2006.46     5.30     1.28    -5.24
  2006.54    -1.34    -0.20    -3.35
  2006.63    -5.74    -1.11    -0.20
  2006.71    -4.70    -3.05     1.98
  2006.79    -1.31    -3.00     2.91
  2006.88     4.32     0.12     2.34
  2006.96     4.90     2.47     1.32
  2007.05     5.80     3.79    -0.28
  2007.13    10.50     6.68     0.18
  2007.21     9.32     4.42     0.68
  2007.29     8.28     2.61    -3.83
  2007.38     5.69     2.29    -5.80
  2007.46     2.84     2.67    -5.76
  2007.54    -2.90     0.48     0.74
  2007.63    -2.91     0.44     5.07
  2007.71    -4.86    -2.51     6.63
  2007.79    -3.81    -2.05     5.40
  2007.88    -1.53     0.37     3.68
  2007.96     1.98     0.68     1.07
  2008.05     3.79     0.60    -0.85
  2008.13     6.77     3.20    -1.00
  2008.21     8.96     3.90    -3.09
  2008.29     6.59     5.35    -3.12
  2008.38     4.86     5.68    -8.07
  2008.46     1.60     3.68    -6.52
  2008.55    -1.37     0.46    -1.02
  2008.63     0.42     1.59     2.60
  2008.71    -3.65    -2.05     2.99
  2008.80    -2.09    -3.17     2.28
  2008.88    -1.71    -3.89     1.45
  2008.96     1.30     0.52     0.31
  2009.05     3.76     0.67    -0.44
  2009.13     3.48     0.12    -2.97
  2009.21     5.98     3.86    -4.32
  2009.29     6.17     3.86    -7.14
  2009.38     4.64     4.03    -9.76
  2009.46     3.24     3.53    -9.34
  2009.55    -1.85     2.17    -3.96
  2009.63    -6.07    -0.68     1.40
  2009.71    -5.20    -0.70     1.09
  2009.80    -3.42    -1.34     2.20
  2009.88    -1.48    -0.66     0.03
  2009.96     0.55    -0.23    -0.93
  2010.05     4.05     4.59    -0.15
