#  l    m   clm               slm
   0    0   0.0000000000e+00 -0.0000000000e+00
   1    0   0.0000000000e-00 -0.0000000000e+00
   1    1   0.0000000000e-00 -0.0000000000e-00
   2    0   1.6049109161e-11 -0.0000000000e+00
   2    1  -8.4206221839e-13  4.4308513770e-12
   2    2  -3.0029349091e-12  5.6740041514e-13
   3    0  -4.1023587554e-13 -0.0000000000e+00
   3    1   6.4890206881e-13 -7.9281113037e-12
   3    2  -4.4301707326e-12  1.7569570053e-12
   3    3   2.3542629809e-13  2.0010525012e-12
   4    0   6.7030757982e-12 -0.0000000000e+00
   4    1   8.2339003178e-13 -6.9119452855e-12
   4    2  -6.4545294788e-12  1.1207060833e-12
   4    3   6.8248093923e-13  2.4871663595e-12
   4    4   3.1926414898e-13  9.4306340627e-13
   5    0  -7.1955144370e-12 -0.0000000000e+00
   5    1   1.2826740712e-12 -5.2046655860e-12
   5    2  -5.9724603748e-12  1.1702594455e-12
   5    3   4.7754881661e-13  4.1589285443e-12
   5    4   1.9941787612e-12 -1.2661043300e-13
   5    5  -2.8062286890e-14  2.5019638401e-13
   6    0   1.3392935671e-12 -0.0000000000e+00
   6    1   1.1841566978e-12 -1.2863612773e-12
   6    2  -5.8830146766e-12  1.2454176620e-12
   6    3   6.4090669274e-13  5.1061782843e-12
   6    4   2.1279648617e-12  4.3483390696e-14
   6    5  -1.3795822901e-13 -6.7132356203e-13
   6    6  -5.3754606509e-14  1.2006239413e-13
   7    0  -6.8125975006e-12 -0.0000000000e+00
   7    1   8.0911435511e-13  6.5046352348e-13
   7    2  -2.5360343544e-12  1.5059936598e-12
   7    3   3.1427936582e-13  5.0759908421e-12
   7    4   2.2707527784e-12  3.1043346116e-13
   7    5   1.6934366709e-13 -9.6837032678e-13
   7    6  -2.1619932658e-13 -2.4651881402e-13
   7    7  -3.2889087713e-14 -2.0758176034e-13
   8    0   4.1710381808e-13 -0.0000000000e+00
   8    1   1.0000387172e-12  2.7891404702e-12
   8    2  -2.0313354906e-12  9.0452815309e-13
   8    3   1.1084951956e-12  4.2478226326e-12
   8    4   2.6452883359e-12  5.2032368146e-13
   8    5  -3.0043304856e-14 -1.0538787692e-12
   8    6  -2.5575530351e-13  7.8503126146e-14
   8    7   2.4383579487e-13  2.1806464216e-13
   8    8  -1.0059583237e-13 -1.6335451183e-13
   9    0  -3.0029925161e-12 -0.0000000000e+00
   9    1   3.3196878386e-13  1.5021940908e-12
   9    2   6.4932442984e-13  8.6781004889e-13
   9    3   6.0316194358e-13  3.1586679014e-12
   9    4   2.4508289720e-12  2.4491829822e-13
   9    5   1.6306379481e-13 -1.1095999836e-12
   9    6  -5.0538757927e-13  8.7455736991e-14
   9    7   1.8053091968e-14  9.3244320812e-14
   9    8   1.2953232555e-13  7.4408749639e-14
   9    9  -1.0581127114e-13 -1.1070790047e-13
  10    0   1.4512793509e-12 -0.0000000000e+00
  10    1   8.8446369661e-13  2.6224644859e-12
  10    2   1.1394615091e-13  1.2877428694e-13
  10    3   8.8969595615e-13  1.6452710201e-12
  10    4   1.8751609373e-12  2.1675882888e-13
  10    5   2.5467615436e-14 -1.1641634632e-12
  10    6  -5.4041562279e-13 -2.3145935798e-13
  10    7  -1.1996182858e-13  2.6015966838e-13
  10    8   9.4017666546e-14 -1.3133904965e-14
  10    9   1.8251127266e-13  6.0660206204e-15
  10   10   9.9322452910e-14 -3.7648733082e-14
  11    0  -3.3490489184e-13 -0.0000000000e+00
  11    1   2.3385921550e-13 -2.2021664650e-13
  11    2   1.5971633002e-12 -1.2956491710e-13
  11    3   1.6636367909e-13  8.4762017444e-13
  11    4   1.4505903684e-12 -2.4517792255e-13
  11    5  -8.4890383194e-14 -9.3428236665e-13
  11    6  -7.2463249961e-13  7.9679794837e-15
  11    7  -2.7591705887e-13  2.0172426434e-13
